Datum,Tijd,Valutadatum,Product,ISIN,Omschrijving,FX,Mutatie,,Saldo,,Order Id
05-02-2022,14:10,05-02-2022,APPLE INC,US0378331005,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"2551,57",00000000-0000-4000-8000-000000000007
05-02-2022,14:10,05-02-2022,APPLE INC,US0378331005,Verkoop 3 @ 180 USD,"1,07",USD,"540,00",USD,"0,00",00000000-0000-4000-8000-000000000007
08-02-2022,15:00,08-02-2022,NVIDIA CORP (NVDA),US67066G1040,Valuta Creditering,"1,10",USD,"1000,00",USD,"1000,00",00000000-0000-4000-8000-000000000008
08-02-2022,15:00,08-02-2022,NVIDIA CORP (NVDA),US67066G1040,Valuta Debitering,,EUR,"-909,09",EUR,"1642,48",00000000-0000-4000-8000-000000000008
08-02-2022,15:00,08-02-2022,NVIDIA CORP (NVDA),US67066G1040,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"1640,48",00000000-0000-4000-8000-000000000008
08-02-2022,15:00,08-02-2022,NVIDIA CORP (NVDA),US67066G1040,Koop 10 @ 100 USD,"1,10",USD,"-1000,00",USD,"0,00",00000000-0000-4000-8000-000000000008
12-02-2022,08:00,12-02-2022,REALTY INCOME CORP (O),US7561091049,Dividend,,USD,"30,00",USD,"30,00",
12-02-2022,08:01,12-02-2022,REALTY INCOME CORP (O),US7561091049,Dividendbelasting,,USD,"-4,50",USD,"25,50",
15-02-2022,09:00,15-02-2022,VANGUARD S&P 500 UCITS ETF USD DIS (VUSA),IE00B3XXRP09,Dividend,,USD,"18,00",USD,"43,50",
15-02-2022,09:01,15-02-2022,VANGUARD S&P 500 UCITS ETF USD DIS (VUSA),IE00B3XXRP09,Dividendbelasting,,USD,"-2,70",USD,"40,80",
15-02-2022,09:02,15-02-2022,VANGUARD S&P 500 UCITS ETF USD DIS (VUSA),IE00B3XXRP09,Dividend Herinvestering,,USD,"15,30",USD,"56,10",
18-07-2022,09:00,18-07-2022,ALPHABET INC CLASS A,US02079K3059,STOCK SPLIT: Verkoop 1 @ 2500 USD,"1,10",USD,"1800,00",USD,"1856,10",00000000-0000-4000-8000-000000000010
18-07-2022,09:00,18-07-2022,ALPHABET INC CLASS A,US02079K3059,STOCK SPLIT: Koop 20 @ 125 USD,"1,10",USD,"-1800,00",USD,"56,10",00000000-0000-4000-8000-000000000010
18-02-2023,10:00,18-02-2023,VANGUARD S&P 500 UCITS ETF USD DIS (VUSA),IE00B3XXRP09,WIJZIGING ISIN: Verkoop 3 @ 85 EUR,,EUR,"255,00",EUR,"1895,48",
18-02-2023,10:00,18-02-2023,VANGUARD S&P 500 UCITS ETF USD ACC (VUAA),IE00BFMXXD54,WIJZIGING ISIN: Koop 3 @ 85 EUR,,EUR,"-255,00",EUR,"1640,48",
20-02-2023,10:00,20-02-2023,iShares Core MSCI World UCITS ETF USD (Acc),IE00B4L5Y983,PRODUCTWIJZIGING : Verkoop 2 @ 95 EUR,,EUR,"190,00",EUR,"1830,48",
20-02-2023,10:00,20-02-2023,iShares Core MSCI World UCITS ETF (IWDA),IE00B4L5Y983,PRODUCTWIJZIGING : Koop 2 @ 95 EUR,,EUR,"-190,00",EUR,"1640,48",
22-02-2023,10:00,22-02-2023,APPLE INC,US0378331005,SPIN-OFF: Koop 1 @ 0 USD,"1,08",USD,"0,00",USD,"56,10",
24-02-2024,07:30,24-02-2024,,,Conversie geldmarktfonds: Verkoop 100 @ 1 EUR,,EUR,"100,00",EUR,"1740,48",
24-02-2024,07:30,24-02-2024,,,Conversie geldmarktfonds: Koop 100 @ 1 EUR,,EUR,"-100,00",EUR,"1640,48",
24-02-2024,07:31,24-02-2024,,,Koersverandering geldmarktfonds (EUR),,EUR,"0,42",EUR,"1640,90",
25-02-2024,08:00,25-02-2024,,,Flatex Interest Income,,EUR,"1,25",EUR,"1642,15",
26-02-2024,08:00,26-02-2024,VANGUARD S&P 500 UCITS ETF USD DIS (VUSA),IE00B3XXRP09,Kapitaalsuitkering,,USD,"5,00",USD,"61,10",
27-02-2024,08:00,27-02-2024,VANGUARD S&P 500 ETF (VOO),US9229083632,VOO Distribution Capital Gain,,USD,"3,50",USD,"64,60",
01-03-2024,08:00,01-03-2024,VANGUARD S&P 500 UCITS ETF USD DIS (VUSA),IE00B3XXRP09,Transactiebelasting Frankrijk,,EUR,"-1,20",EUR,"1640,95",
01-03-2024,08:01,01-03-2024,,,DEGIRO Aansluitingskosten 2025 (New York Stock Exchange - NSY),,EUR,"-2,50",EUR,"1638,45",
01-03-2024,08:02,01-03-2024,APPLE INC,US0378331005,ADR/GDR Externe Kosten,,EUR,"-0,50",EUR,"1637,95",
05-03-2024,12:00,05-03-2024,,,Valuta Debitering,"1,08",USD,"-64,60",USD,"0,00",
05-03-2024,12:00,05-03-2024,,,Valuta Creditering,,EUR,"59,81",EUR,"1697,76",
10-06-2024,09:00,10-06-2024,NVIDIA CORP (NVDA),US67066G1040,STOCK SPLIT: Verkoop 10 @ 100 USD,"1,10",USD,"1000,00",USD,"1000,00",
10-06-2024,09:00,10-06-2024,NVIDIA CORP (NVDA),US67066G1040,STOCK SPLIT: Koop 100 @ 10 USD,"1,10",USD,"-1000,00",USD,"0,00",
10-03-2025,17:00,10-03-2025,,,Degiro Cash Sweep Transfer,,EUR,"-100,00",EUR,"1597,76",
10-03-2025,17:00,10-03-2025,,,Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 100 EUR,,,,EUR,"1597,76",
31-03-2025,08:00,31-03-2025,,,Flatex Interest,,EUR,"-0,10",EUR,"1597,66",
01-04-2025,10:00,01-04-2025,ASML HOLDING NV,NL0010273215,Verkoop 1 @ 800 EUR,,EUR,"800,00",EUR,"2397,66",00000000-0000-4000-8000-000000000013
01-04-2025,10:01,01-04-2025,ASML HOLDING NV,NL0010273215,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"2395,66",00000000-0000-4000-8000-000000000013
01-07-2025,10:00,01-07-2025,ASML HOLDING NV,NL0010273215,Koop 1 @ 1000 EUR,,EUR,"-1000,00",EUR,"1395,66",00000000-0000-4000-8000-000000000014
01-07-2025,10:01,01-07-2025,ASML HOLDING NV,NL0010273215,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"1393,66",00000000-0000-4000-8000-000000000014
01-10-2025,10:00,01-10-2025,ASML HOLDING NV,NL0010273215,Verkoop 1 @ 1200 EUR,,EUR,"1200,00",EUR,"2593,66",00000000-0000-4000-8000-000000000015
01-10-2025,10:01,01-10-2025,ASML HOLDING NV,NL0010273215,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"2591,66",00000000-0000-4000-8000-000000000015
02-01-2026,10:00,02-01-2026,ASML HOLDING NV,NL0010273215,Koop 1 @ 1400 EUR,,EUR,"-1400,00",EUR,"1191,66",00000000-0000-4000-8000-000000000016
02-01-2026,10:01,02-01-2026,ASML HOLDING NV,NL0010273215,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"1189,66",00000000-0000-4000-8000-000000000016
